user_id,name,signup_date,features
c7a8d444-1d70-4ff2-8b2e-a58860522a6f,Jane Smith,2025-05-19,"[0.19172212977588837, -0.05336736658662296, 0.24999534481411942, 0.587860293516156, -0.09037870860739183, -0.09037237166166928, 0.6095458374257505, 0.29621507630737964, -0.1812081024891613, 0.20941776363124417]"
3474ed41-6044-4d14-b5d0-e5c9b77839ba,Mary Brown,2025-07-27,"[-0.13733656698941576, -0.13802175983395173, 0.07170694652628987, -0.5670118870414117, -0.5111895750429005, -0.1666372262531778, -0.3001584772531865, 0.09312905077554141, -0.269098291260725, -0.4185445331417828]"
d527a644-6900-40c7-bd4e-97a674306995,Jane Taylor,2025-08-23,"[0.576919224115262, -0.08887169345227897, 0.02658093827153399, -0.5608196421811946, -0.21428384870538547, 0.043662148632894325, -0.4530623814713316, 0.14788495978140279, -0.2364277269625375, -0.11481859458991273]"
c2349d12-44e8-4217-bb5a-ee6ba991c05e,Jordan Wilson,2025-09-20,"[-0.16840775233362426, 0.5184221004219777, -0.0037776504938766735, -0.2960358363093127, 0.23021674853715182, -0.3416939931582707, 0.058457473898693484, -0.5484793322366359, -0.37173735942025254, 0.055098211620947225]"
a740503b-ab81-4553-84ae-a0e983becbcc,John Jones,2025-06-17,"[0.26208814929579416, 0.060820078906427634, -0.04104457144229834, -0.10686429482511088, -0.5247401881760734, -0.255478909229227, -0.16348466707253054, 0.37518178256744855, 0.12195309038595091, -0.6257181353502281]"
a183526d-6c35-4e5e-b8bb-b26e38410065,Mary Taylor,2024-12-02,"[0.14674720068395, -0.17436760846151836, -0.3065144160378665, 0.276970759398463, 0.46684288061302626, 0.4216893257266817, -0.38000282003401653, -0.1400132522991985, 0.14999810493006585, 0.4417327917002907]"
13b4d13a-65f8-4245-a103-c0fb48231cc0,John Taylor,2025-06-27,"[-0.18139905584775792, -0.0702841689234366, -0.4188207626488532, -0.4528431102281566, 0.30759461881132794, 0.5134263097948845, -0.027260580879501086, 0.37990339590951155, 0.13690308936299128, -0.24422037987753878]"
f7a2a669-45a4-44ce-96e0-43ab2a8ec4cb,Taylor Wilson,2025-06-16,"[0.0888618622152554, 0.37818056270787015, -0.008809095912021942, 0.38472285451097066, -0.6441567770344481, 0.2020937332522824, 0.02140359336450821, -0.0735215082127719, 0.022562624882478833, -0.48871395318745026]"
713d6f81-3859-4e34-96f9-ea82309feb2c,Sam Anderson,2025-05-17,"[-0.09800425410672708, 0.15932193940551856, 0.6593465596781423, -0.23122069313306967, -0.36070074000646285, -0.22385351755010446, 0.4083968259947298, 0.14666877772174536, -0.23634682679114558, 0.22898875424950524]"
40efff8f-b075-414b-af60-1ee04784a989,John Williams,2024-10-14,"[0.04821169897825704, 0.4810589164435987, -0.34866117507170247, -0.16272710718835232, -0.19473297763165567, -0.7268265691026065, 0.14706244394377677, 0.12964808324426294, 0.0025394999568936925, -0.11650319084495044]"
abe237e7-575a-4b3f-955c-909db2998161,Alex Miller,2025-05-17,"[-0.5431439172848647, -0.16142127402135845, -0.13151558067893693, -0.30787129181600176, -0.06189286710098824, 0.15505320170362646, 0.7238177027927284, 0.06699366767688313, 0.09883412448724113, -0.02856837796188867]"
7ecf6e83-dd21-4a26-96c6-ecb2ad7a3361,Peter Brown,2025-04-17,"[-0.5297327011000884, -0.007319927850885554, 0.01662830437807708, 0.6800497564827994, -0.05310684913721819, 0.08325093001723088, -0.009583195421793414, -0.32264762398369645, 0.31550953630367895, 0.20759302269888752]"
b4004db6-3932-4aa3-bf5d-9084b3a5d4ef,Jane Jones,2025-03-26,"[0.22746674484982227, -0.26150069529134623, 0.40338327269242324, -0.4031120351202089, 0.16875484399558632, 0.6298807687900647, -0.28483561804959767, -0.16284285565217188, 0.028655443969184523, -0.1447779303744285]"
370d68ee-58b5-4959-abfa-c15224c33efc,Jane Miller,2025-04-13,"[-0.4927405963413151, 0.021786649775850462, -0.3375588505605708, 0.15048927576338778, -0.2921573027330262, 0.4925089401851594, -0.24888746753169305, -0.10233863801422474, 0.2585041671776954, -0.39112086165463095]"
f6209a85-de12-4b2c-9f7e-873daceb8fd9,Jordan Davis,2025-09-14,"[0.0771537776837762, 0.44337918957193995, -0.5452538458062268, 0.06262729169816868, 0.08815152156874577, 0.2651921453427823, -0.41957024351990596, -0.44789521347697947, 0.17704112852935433, 0.10073637581053879]"
58830d2b-18ce-4164-9c77-73318d079cb1,Sam Taylor,2025-08-04,"[0.09569976011910927, 0.13235910923914826, -0.2598006395801983, 0.08873156688661618, 0.11196712941495551, -0.2729150123505482, 0.7128114551227979, 0.18102591273636076, -0.45513258663442774, 0.250833597704827]"
fc706f04-bb1a-4258-ba14-3545b083dbe8,Alex Jones,2024-12-28,"[-0.31481021149374616, 0.2542186624991556, 0.37421214577470585, -0.2650703117759706, 0.3111586605755071, 0.13332317091708148, 0.2655153377082498, 0.6126408429224656, -0.07925734838011131, -0.24344752605897008]"
6590fba6-f4e7-4455-bd56-62f41dae529a,Chris Anderson,2025-04-04,"[-0.2576172131828563, -0.23627134658983123, -0.022329854187141077, 0.09880291774591117, 0.08013395877877409, 0.23956513386512754, 0.003765550102544521, 0.4209660751441939, -0.07664873503768269, 0.7878032966567663]"
e5a28c7d-dd7f-4fd6-955b-6286e240836e,Jordan Brown,2024-10-11,"[0.24914174448480636, -0.3413215180027181, -0.42643111563310526, 0.1921212919754802, -0.08898324063480899, 0.2843161454670158, 0.18844398347343833, -0.029000590190747553, -0.3371946208987341, -0.6032146020315502]"
12064acd-e638-4b9c-b562-857155890cb7,Jane Smith,2024-11-02,"[-0.20330688793821344, 0.38993492357185255, 0.09748101971648787, -0.5672089436455647, 0.07885262278916366, 0.1754424504230674, -0.4024373739406796, 0.06999401194311261, 0.026503554569325197, -0.5204164679862233]"
74a9f296-a53c-40be-a2ed-365a21d0f93e,Mary Davis,2025-08-27,"[0.07781382931269258, 0.12196292058372127, 0.23554874742166076, 0.22918745068743335, -0.29962413692642487, -0.20396404587933795, 0.11201308602288068, 0.11174137691343934, 0.11201578700573102, 0.83791610276453]"
339f6b87-16e5-4fa2-ac8f-b32e8ebf1a75,Mary Jones,2025-03-26,"[0.26849736468228486, 0.5340715533037005, 0.4486796585376192, 0.30635792866892375, -0.148275299318827, 0.3569532717052557, -0.36346992913126913, -0.11137892577723629, -0.22827290183318544, 0.03850649161109061]"
a1106ced-e077-4be6-bc4e-b7a7fa8c4690,Chris Moore,2024-11-15,"[0.5886108427980528, -0.47484002805582187, 0.17451394121406583, -0.41010888681476704, -0.12001088076881729, 0.2769169232452136, 0.016346219161485584, -0.2740673165329311, -0.1818996223573357, 0.17281970201721036]"
